"","gene","observed_stat","p_value","q_value","significant","direction","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_10"
"c2cd2","c2cd2",244.83743538711,0,0,TRUE,"CV-enriched",7.31202195173086e-07,1.98939304113225,14.4946478046883,20.184306166511,17.8886133731028,13.5968676261043,9.79680165139716,6.95964048429692,4.95693534933073,3.56551703258811
"c3","c3",1680.50696229352,0,0,TRUE,"CV-enriched",1.01505844138727e-05,5.41341084171391,38.2039658931259,52.9505080332673,46.8788739359929,35.6282720521929,25.6758721620764,18.2453768128172,12.9990670397158,9.35297662974093
"c4b","c4b",1034.55787887718,0,0,TRUE,"CV-enriched",5.47042142751984e-06,4.04937148127142,29.6579614749522,41.5905460362667,37.0265948144233,28.2309281025254,20.3873777464256,14.5085716805616,10.3479616246068,7.45169931580275
"car3","car3",7621.03839008082,0,0,TRUE,"PN-enriched",7.44875596414629e-06,9.94220941041577,78.7063558033472,113.078382792217,101.76762528582,78.0519019567922,56.5706505658219,40.3552390152698,28.8315335550874,20.7879862800412
"ces1c","ces1c",631.857563602336,0,0,TRUE,"CV-enriched",1.10462369276525e-05,3.41779085304747,23.5310991142747,32.4985344529843,28.7367469851998,21.8255774571497,15.7217861420261,11.1682444747615,7.954821548923,5.72236263624898
"ces1d","ces1d",1262.45700260864,0,0,TRUE,"CV-enriched",8.37473229019975e-06,4.45377108848437,32.6955274631477,45.9983331172381,41.0514797227622,31.3576411735838,22.6776364062183,16.1565649948904,11.5338189171887,8.31185396302082
"ces2a","ces2a",700.271986454756,0,0,TRUE,"CV-enriched",9.54903019042649e-06,3.6980552734486,24.9508170736,34.1576766499999,30.0671678242413,22.7732687819204,16.3740970171788,11.6161174732467,8.26548622848265,5.94114270080983
"ces3a","ces3a",4434.11123994255,0,0,TRUE,"CV-enriched",1.70650320207037e-05,8.36122076226833,61.276974980233,86.1893597351404,76.8527172135963,58.6469357062821,42.3741331180124,30.1647765598019,21.518822448696,15.4980944161029
"ces4a","ces4a",5.88780865157766,0,0,TRUE,"CV-enriched",2.03443201043035e-06,0.461532449783364,2.46544087192052,3.06355682320368,2.55813960738042,1.87429172333458,1.31719314050277,0.918984634347757,0.645640742905443,0.459451449789727
"cic","cic",1.507139476444,0,0,TRUE,"CV-enriched",4.89896349315225e-08,0.188355189308408,1.20431462714788,1.53775248592513,1.29000036436682,0.944790229451113,0.662900780495992,0.461655537970826,0.323780276746409,0.230049892962128
"clpb","clpb",24.7612333064061,0,0,TRUE,"CV-enriched",4.11126507903695e-06,0.792602789608117,4.85161392958047,6.35020224805534,5.4354164632269,4.0386195978509,2.86355892514342,2.01006926791196,1.41844134186074,1.01276664320548
"clu","clu",3952.31653672489,0,0,TRUE,"CV-enriched",1.52613385713609e-05,7.88248374907157,57.8134035650684,81.3977419098902,72.6276650144175,55.4466269985662,40.0737054370561,28.5332891877938,20.3582334547143,14.6640538303889
"cml2","cml2",2160.46617418441,0,0,TRUE,"CV-enriched",7.03201232287303e-06,5.5055319141956,42.283360283317,60.1519836307108,53.8733558555824,41.2002929442038,29.8046206577323,21.232796691891,15.1543804939716,10.9180302552683
"crp","crp",1434.27264098146,0,0,TRUE,"PN-enriched",1.99080560788015e-06,4.38946512810358,34.2968416886139,49.0251504522881,44.0166647290236,33.7139841087186,24.4145693112613,17.4062057070705,12.4304554484846,8.95965168655994
"cs","cs",171.254158507886,0,0,TRUE,"CV-enriched",7.22398521407621e-07,1.59697544084826,12.0365950075016,16.8678087094211,14.974121284551,11.3883489434985,8.20788978154749,5.83196010823021,4.15435359786722,2.98858926298439
"csnk1g3","csnk1g3",105.944448085057,0,0,TRUE,"CV-enriched",9.7829843956188e-07,1.27112153567076,9.51550281874617,13.2220268892015,11.6545814308109,8.81445748227763,6.32497659956851,4.4783042927037,3.18094136345316,2.28288588881811
"cyp1a2","cyp1a2",460.130760696562,0,0,TRUE,"CV-enriched",8.2192513479365e-06,2.80951961547273,19.9566052226838,27.6928859639714,24.4986972867859,18.5979749057126,13.3879350514825,9.50411461549115,6.76547438761339,4.86423026898393
"cyp2a5","cyp2a5",42.942190532821,0,0,TRUE,"CV-enriched",1.87169089514194e-05,1.335045292637,6.69700971891939,8.39232731600813,7.08912857466199,5.24384869406462,3.71309548844819,2.60614029138164,1.83985525201614,1.31450054551043
"cyp2c29","cyp2c29",997.301846650235,0,0,TRUE,"CV-enriched",6.73278141410957e-06,4.26986471358484,29.6181948518789,40.7008313100048,35.825539447038,27.1131088584579,19.4770040917866,13.8058957430224,9.81642596077561,7.05144219108121
"cyp2c37","cyp2c37",40.7624727030654,0,0,TRUE,"CV-enriched",2.78424764563959e-06,1.10878839739493,6.34546919426044,8.13725027819697,6.92495170081125,5.13882754157069,3.64460197824854,2.56035149960357,1.80848035401206,1.29250047157897
"cyp2c50","cyp2c50",637.66511029489,0,0,TRUE,"CV-enriched",8.65804417715175e-06,3.48097650139568,23.7475240343243,32.5826814923387,28.6870805277262,21.7223685970455,15.6129064192428,11.0722001368957,7.87593328908303,5.65953206271408
"cyp2c54","cyp2c54",121.367743241132,0,0,TRUE,"CV-enriched",5.59988340768104e-06,1.75084217442434,10.7010699206694,14.1530643352073,12.2503475068239,9.18835666699225,6.56487220037652,4.63684378390964,3.28876177373622,2.35813632648673
"cyp2c69","cyp2c69",21.9127201884859,0,0,TRUE,"CV-enriched",4.7656627648566e-06,0.867662988448611,4.69636852770342,5.99214912004519,5.09809423506967,3.78450371689695,2.6850989006704,1.88689564937278,1.33312925337839,0.95296460658805
"cyp2c70","cyp2c70",1513.26084404258,0,0,TRUE,"CV-enriched",1.03415372713566e-05,4.84532843541216,35.7302773668513,50.3516597089011,44.9182270645552,34.2786176652942,24.7646649316561,17.6265477637581,12.5724104673919,9.05345480964464
"cyp2d10","cyp2d10",792.686096517693,0,0,TRUE,"CV-enriched",1.37536700254435e-05,3.88309093635308,26.4125878751312,36.4380890994599,32.2456701957659,24.5165439941972,17.677762464084,12.5686061996746,8.95891536383587,6.44876508692957
"cyp2d26","cyp2d26",675.047062048592,0,0,TRUE,"CV-enriched",6.63051227360005e-06,3.49190059339096,24.3260312305649,33.5228956666865,29.5882828832217,22.4447624680927,16.1542278995813,11.4685496224328,8.16507818752178,5.8716021217311
"cyp2d9","cyp2d9",1655.61446556669,0,0,TRUE,"CV-enriched",1.09111391301003e-05,5.4479791048824,38.0172344392277,52.5427571085201,46.4297744468406,35.2344877294343,25.3615807973438,18.0042761992816,12.8167787702123,9.21545224310712
"cyp2e1","cyp2e1",620.621632868315,0,0,TRUE,"CV-enriched",1.40229737697717e-05,3.70519594883096,23.8697872111807,32.0070733273749,27.8317384553739,20.9105190318157,14.9488372619996,10.5597586089813,7.48899285530404,5.36882050691009
"cyp3a11","cyp3a11",4206.61342112026,0,0,TRUE,"CV-enriched",9.24712263451036e-06,7.97970289176894,59.4834883730384,83.8915700412601,74.8369793156025,57.1027463687755,41.24810002579,29.3550637457538,20.9356305366027,15.074407862928
"cyp4a10","cyp4a10",140.674260916063,0,0,TRUE,"CV-enriched",1.30472834203616e-06,1.57941044623625,11.1372072762519,15.2257076754488,13.3402892946447,10.0625381039408,7.21109973631572,5.10221649903486,3.622781118623,2.59948337837541
"cyp4a12a","cyp4a12a",1062.02851460488,0,0,TRUE,"CV-enriched",5.37119992140584e-06,3.95414355709117,29.7937391815536,42.1753546408448,37.7076226925358,28.8172381995705,20.8406240362091,14.8452896667589,10.5952656607885,7.63358954149511
"cyp7a1","cyp7a1",57.7913306302393,0,0,TRUE,"CV-enriched",7.26225199474393e-06,1.14165419129776,7.30680507592858,9.74866302369149,8.44425833374936,6.3263310999295,4.51305324085506,3.18277450713395,2.25430970825432,1.61441526143909
"ddit3","ddit3",21.1877895469617,0,0,TRUE,"CV-enriched",8.17856780004648e-08,0.576813696924222,4.28629224773233,5.88892448519383,5.15504863590339,3.88146500002874,2.77666403923005,1.96157912570046,1.39094657573869,0.99692212619823
"dyrk2","dyrk2",0.88701107533765,0,0,TRUE,"CV-enriched",4.55916964626693e-08,0.160429380377366,0.947134286119983,1.1640201075885,0.954634039877864,0.688741721571332,0.478092512741539,0.330284005027514,0.23019762268241,0.16274054555659
