"","Zone_1","Zone_2","Zone_3","Zone_4","Zone_5","Zone_6","Zone_7","Zone_8","Zone_9","Zone_10"
"0610007p14rik",2.74571820024475e-06,1.52816174572295,12.566340432283,18.5247897620837,16.931414748505,13.1191673709315,9.57790569589594,6.86976628949668,4.92885802425086,3.56582877458708
"0610009b22rik",6.04387017634306e-07,1.44677856108127,11.9744471775139,17.6256175901875,16.0880558993121,12.4513492716741,9.08134559903841,6.50805673109001,4.66590982591872,3.37344589472877
"0610009o20rik",8.67233117568679e-08,0.308946631663364,2.25547560128789,3.14383704228953,2.7928895845402,2.12853924798555,1.5375678594704,1.09478918579679,0.781324976672815,0.562998403783792
"0610010f05rik",9.63157606098084e-08,0.457769734737552,4.04743241783899,6.01786265493892,5.5010430290934,4.25562172633242,3.10100276416826,2.22015803724178,1.59028856636611,1.14884047490235
"0610010k14rik",1.76568529268515e-08,0.244499582289331,2.18348796916012,3.25403542930574,2.98111725983194,2.31066586763106,1.68649414423139,1.20909070217276,0.867057680258199,0.626978101542508
"0610011f06rik",7.26557306188587e-06,2.77325250852915,22.20182757338,32.5242401040748,29.6611622403937,22.9591315372663,16.7520766892843,12.0109759541363,8.6152559584234,6.23154688699312
"0610012g03rik",2.94460106651322e-07,0.839988530426504,6.53988441182485,9.39251153713321,8.46706252831225,6.5045719354183,4.72080428886982,3.37131845330052,2.41074828296386,1.73944683089672
"0610030e20rik",3.95055264709179e-08,0.68037110451716,6.24376540363493,9.35560454293689,8.58052396016283,6.65050649264145,4.85217472264424,3.4770153872374,2.49225267141352,1.80138289102808
"0610031o16rik",5.42673527674305e-08,0.535487468877479,4.74728968187572,7.07859645923844,6.49407712388171,5.04068602426014,3.68367074384582,2.64375758097204,1.89762188132267,1.37327089214563
"0610037l13rik",3.21334711777349e-07,0.943718045014599,7.61088568197191,11.0258754718589,9.96826358648006,7.66708841918231,5.56781734262307,3.97750168442672,2.84477388535712,2.05287372939557
"0610040b10rik",5.72346910785743e-09,0.160404405450958,1.38891826422782,1.99750178931298,1.7843085986373,1.35830350823113,0.978247422076818,0.694196410735202,0.493820575345639,0.354767762074382
"0610040j01rik",8.65733043640869e-08,0.485437045295836,4.27015919817477,6.41989982907624,5.9253233840412,4.61766459884256,3.38379944004649,2.43330022699171,1.74909593259752,1.26718986272807
"0610043k17rik",4.72943980155349e-08,0.109552751661476,0.872692141510176,1.29482593086436,1.19297396567655,0.930123382106799,0.682203168370313,0.491024085839619,0.353248633400467,0.25610781601539
"1110001j03rik",4.08183526095467e-07,2.01142563813589,18.1819148950054,27.4594206808225,25.3748646807071,19.7836020629064,14.5001564017207,10.4281697814187,7.49639158241747,5.43122213445977
"1110004e09rik",3.80010001330269e-08,0.463792883754569,4.14395172463103,6.28091757741959,5.83692368245389,4.57393721496495,3.36656059916229,2.42952730804171,1.75147419099377,1.27198429448571
"1110004f10rik",8.76323227292214e-08,0.726577338559185,6.26316603988708,9.25768797181222,8.45312597622423,6.54035715863401,4.76828549625907,3.41584931584742,2.44815141502703,1.76949672320824
"1110008f13rik",2.66028361691874e-06,3.52102568777745,27.0456844063619,38.6185069425597,34.6819466470545,26.5744079206984,19.2510685285156,13.7289856568086,9.80683086892725,7.07005411746949
"1110008l16rik",8.48194017238835e-08,0.237521406970373,1.99352251525926,2.94695445525294,2.69165461667937,2.08238392635957,1.51774233726947,1.08688633246074,0.778700767216008,0.562647283331007
"1110008p14rik",1.73698322790482e-06,1.60535186648619,12.0538893184242,17.3496746651219,15.7135863585458,12.1211222931918,8.82633698729471,6.32009870923051,4.52918572841262,3.27385455105662
"1110012l19rik",5.12007799535845e-08,0.237939168557337,1.78107692562985,2.46858581424728,2.17417498018317,1.64405744931281,1.17978699935227,0.835443509294874,0.593510740735762,0.426017196495545
"1110019d14rik",2.46290382459949e-08,0.342042894171322,3.42531499154034,5.39676680381331,5.10546365118631,4.04066124399374,2.99267046283168,2.16891895204509,1.56842091585046,1.141696849624
"1110020a21rik",2.94983228492366e-08,0.257729851384324,2.25163113984367,3.31302666492721,3.00929038580111,2.31842941233453,1.68460772656178,1.20360388965077,0.860789596354874,0.621084574021619
"1110032a03rik",1.91198502335769e-08,0.403456495962415,3.71244276752964,5.5527400189202,5.08464380855681,3.93623027166505,2.86924392143665,2.05462114761364,1.47188697858807,1.06338772530083
"1110034g24rik",4.01455565082593e-06,0.429651719203834,2.26914317012439,3.01979414604097,2.65925902252993,2.02444579835202,1.46348984177425,1.04327646484466,0.745449007826736,0.537730405022082
"1110037f02rik",2.39290345977812e-08,0.245100311459325,2.04810906723449,3.00604687056536,2.739206414979,2.1179550206812,1.54377442158591,1.10586391186447,0.792597590222133,0.572911646561706
"1110038f14rik",2.20440289154371e-07,0.285382929785453,2.1265909185656,3.06719405535024,2.7883737259947,2.15851377634621,1.57652809712894,1.13171566068524,0.812728825388028,0.588508117620363
"1110051m20rik",9.32088666744684e-09,0.191834777707403,1.7752236045268,2.66672584830026,2.44868387776404,1.89918474101242,1.38624110845382,0.993669067833759,0.712402410669324,0.515009052561646
"1110059e24rik",7.76589993333724e-06,0.844907938568154,6.08398270673174,8.82905452237394,8.05788492878673,6.25069599374185,4.57054380193891,3.28307573812886,2.35856810544974,1.70823029134426
"1110059g10rik",1.82769843265048e-07,0.458814667377699,3.66923928945589,5.37708232470305,4.90841374717643,3.80213786953342,2.77562032481696,1.9907558804975,1.42826684362907,1.0332548519532
"1110065p20rik",4.83479181715258e-07,1.02235832646526,7.88334177925833,11.2460110973103,10.0964924351804,7.73666382438812,5.60574719063114,3.99878675002091,2.85715295644904,2.06033807186039
"1190002n15rik",2.44675087564546e-07,1.08327238106812,9.39627416663974,13.9475559816034,12.761264876452,9.88462018666138,7.21133135660815,5.16829491485797,3.70530957045727,2.67878303497241
"1190005i06rik",5.59191844764369e-08,0.170073339659943,1.46006718629846,2.21743795811973,2.06662684920152,1.62280652899795,1.19618387288241,0.864166254149376,0.623491777322539,0.453088832756265
"1190007i07rik",1.43949861248832e-07,1.02192083791152,9.13466443600467,13.6055515255915,12.4465958336003,9.6336127075147,7.02259119182918,5.02939558581573,3.60347346139593,2.60376031265773
"1300002e11rik",1.0315437923049e-07,0.695500460486372,6.10130158880898,9.03902613061232,8.24952522655605,6.37654183028637,4.64422186107994,3.3239946027585,2.38046283656934,1.71941459465044
"1300017j02rik",8.49106939621272e-06,2.65314841853382,18.1142643755692,24.8460804886195,21.8829216343307,16.5797787348932,11.9240907306544,8.46118588576901,6.02187189581867,4.32929695859982
"1500011b03rik",5.85779455049358e-09,0.0907143466991334,0.756633665391422,1.09080408983706,0.980232198300242,0.750265175182298,0.54275609868593,0.386555421607543,0.275794675179433,0.198621964416869
"1500011k16rik",4.90335907625053e-07,1.46151735338388,12.0003080876102,17.4564325409989,15.8174070388951,12.1851865598664,8.85954005904463,6.33510007096998,4.5345134899119,3.27436823091111
